"","X1_test","X2_test","Y_test"
"1",594,1,3
"2",2601,1,2
"3",697,1,4
"4",2150,1,3
"5",2228,1,4
"6",1401,1,3
"7",1732,1,3
"8",1368,1,4
"9",1940,1,3
"10",298,1,4
"11",1438,1,3
"12",1994,1,4
"13",2965,1,5
"14",2869,1,5
"15",660,1,4
"16",1688,1,4
"17",2549,1,2
"18",172,1,5
"19",1841,1,3
"20",1586,1,4
"21",1400,1,4
"22",2523,1,5
"23",722,1,4
"24",249,1,5
"25",2944,1,5
"26",2823,1,3
"27",1709,1,3
"28",2109,1,4
"29",527,1,4
"30",2799,1,4
"31",844,1,4
"32",2010,1,3
"33",307,1,3
"34",2953,1,4
"35",2312,1,3
"36",1893,1,3
"37",1256,1,5
"38",117,1,3
"39",1809,1,2
"40",869,1,4
"41",1123,1,3
"42",2013,1,3
"43",1545,1,3
"44",2127,1,3
"45",1408,1,4
"46",383,1,3
"47",1363,1,5
"48",1346,1,4
"49",2574,1,5
"50",886,1,4
"51",720,1,4
"52",972,1,4
"53",2705,1,3
"54",1407,1,3
"55",1613,1,5
"56",83,1,4
"57",2573,1,4
"58",2959,1,4
"59",2857,1,3
"60",30,1,3
"61",2732,1,4
"62",1404,1,3
"63",340,1,3
"64",2149,1,5
"65",15,1,3
"66",2199,1,4
"67",1760,1,4
"68",1092,1,4
"69",1196,1,4
"70",981,1,4
"71",2423,1,3
"72",2765,1,4
"73",2721,1,3
"74",2698,1,3
"75",1239,1,4
"76",536,1,4
"77",1093,1,4
"78",796,1,3
"79",973,1,4
"80",514,1,4
"81",646,1,4
"82",2987,1,3
"83",2713,1,4
"84",838,1,3
"85",2336,1,4
"86",2368,1,4
"87",87,1,5
"88",2215,1,3
"89",1127,1,4
"90",2066,1,5
"91",996,1,4
"92",1106,1,5
"93",1797,1,3
"94",238,1,5
"95",410,1,4
"96",2051,1,5
"97",1109,1,5
"98",2493,1,4
"99",2824,1,5
"100",2213,1,4
"101",158,1,4
"102",2581,1,3
"103",2337,1,2
"104",2938,1,4
"105",115,1,5
"106",908,1,4
"107",2180,1,4
"108",798,1,2
"109",2196,1,3
"110",2102,1,5
"111",2998,1,5
"112",192,1,3
"113",2791,1,4
"114",72,1,3
"115",2203,2,4
"116",2960,2,5
"117",508,2,4
"118",594,2,4
"119",2601,2,3
"120",2747,2,4
"121",179,2,5
"122",686,2,4
"123",1636,2,2
"124",2145,2,3
"125",2810,2,3
"126",641,2,4
"127",2150,2,3
"128",2660,2,5
"129",2350,2,5
"130",359,2,3
"131",1582,2,4
"132",1505,2,3
"133",407,2,4
"134",327,2,4
"135",814,2,5
"136",1769,2,4
"137",102,2,4
"138",1458,2,3
"139",865,2,3
"140",2446,2,4
"141",1216,2,4
"142",106,2,4
"143",795,2,4
"144",1604,2,3
"145",17,2,4
"146",2157,2,5
"147",1801,2,4
"148",18,2,2
"149",206,2,5
"150",2072,2,4
"151",1898,2,4
"152",2258,2,5
"153",728,2,4
"154",2197,2,2
"155",1698,2,5
"156",907,2,4
"157",788,2,4
"158",1014,2,4
"159",1750,2,4
"160",1772,2,3
"161",207,2,5
"162",2787,2,3
"163",1195,2,4
"164",947,2,4
"165",839,2,4
"166",25,2,3
"167",2637,2,4
"168",1481,2,2
"169",190,2,4
"170",655,2,5
"171",810,2,5
"172",1524,2,5
"173",1400,2,5
"174",975,2,5
"175",961,2,5
"176",1668,2,4
"177",1766,2,5
"178",2978,2,4
"179",356,2,5
"180",879,2,3
"181",722,2,3
"182",1348,2,4
"183",1309,2,4
"184",1070,2,3
"185",291,2,3
"186",1186,2,4
"187",496,2,3
"188",876,2,3
"189",1332,2,3
"190",1549,2,5
"191",2170,2,4
"192",2736,2,4
"193",2953,2,3
"194",1038,2,3
"195",312,2,3
"196",805,2,4
"197",116,2,5
"198",85,2,5
"199",2432,2,5
"200",525,2,5
"201",2500,2,5
"202",2519,2,5
"203",1194,2,5
"204",957,2,4
"205",1607,2,4
"206",1975,2,5
"207",1987,2,4
"208",204,2,5
"209",2184,2,4
