"","X1_test","X2_test","Y_test"
"1",843,1,5
"2",2065,1,5
"3",1595,1,4
"4",459,1,4
"5",2791,1,2
"6",2027,1,4
"7",1478,1,4
"8",1037,1,3
"9",2902,1,4
"10",2569,1,3
"11",1010,1,3
"12",2074,1,5
"13",2079,1,4
"14",2212,1,5
"15",2214,1,4
"16",2265,1,4
"17",1673,1,5
"18",857,1,1
"19",946,1,4
"20",1271,1,5
"21",1091,1,4
"22",773,1,4
"23",672,1,3
"24",245,1,5
"25",1213,1,5
"26",222,1,3
"27",785,1,3
"28",2653,1,2
"29",810,1,3
"30",866,1,5
"31",1516,1,3
"32",1337,1,3
"33",2206,1,4
"34",2272,1,3
"35",1547,1,5
"36",295,1,5
"37",730,1,4
"38",42,1,4
"39",1769,1,3
"40",1319,1,4
"41",2370,1,4
"42",70,1,5
"43",23,1,4
"44",2600,1,2
"45",1517,1,3
"46",1409,2,5
"47",2248,2,5
"48",1743,2,3
"49",2813,2,3
"50",20,2,3
"51",970,2,4
"52",1595,2,4
"53",1082,2,5
"54",1657,2,5
"55",1162,2,4
"56",1244,2,5
"57",790,2,3
"58",1822,2,3
"59",1304,2,4
"60",484,2,4
"61",144,2,4
"62",1328,2,3
"63",2842,2,5
"64",1890,2,5
"65",584,2,4
"66",171,2,4
"67",2591,2,1
"68",800,2,3
"69",2528,2,4
"70",2889,2,4
"71",473,2,4
"72",79,2,3
"73",570,2,2
"74",2893,2,3
"75",1656,2,5
"76",2296,2,3
"77",2233,2,4
"78",2167,2,4
"79",2720,2,5
"80",700,2,3
"81",44,2,5
"82",333,2,4
"83",356,2,5
"84",1585,2,4
"85",1408,2,2
"86",1037,2,3
"87",1000,2,3
"88",2823,2,3
"89",649,2,4
"90",1025,2,3
"91",666,2,4
"92",1538,2,5
"93",1085,2,5
"94",1434,2,4
"95",1569,2,3
"96",2969,2,4
"97",2976,2,5
"98",470,2,4
"99",1918,2,4
"100",2407,2,5
"101",2726,2,4
"102",2276,2,2
"103",1738,2,3
"104",51,2,4
"105",726,2,3
"106",2182,2,4
"107",1250,2,4
"108",1245,2,4
"109",2227,2,4
"110",925,2,3
"111",195,2,3
"112",683,2,5
"113",1453,2,5
"114",1419,2,4
"115",2933,2,4
"116",2833,2,3
"117",1171,2,5
"118",1452,2,5
"119",504,2,4
"120",1777,2,3
"121",1183,2,2
"122",2076,2,3
"123",2532,2,4
"124",745,2,1
"125",49,2,3
"126",1440,2,4
"127",2131,2,4
"128",984,2,5
"129",2847,2,4
"130",1412,2,4
"131",786,2,3
"132",1295,2,5
"133",2055,2,5
"134",1484,2,4
"135",590,2,4
"136",568,2,3
"137",571,2,3
"138",282,2,2
"139",672,2,5
"140",1281,2,3
"141",268,2,3
"142",2994,2,4
"143",1254,2,4
"144",2365,2,2
"145",2043,2,4
"146",2061,2,5
"147",1190,2,4
"148",272,2,5
"149",522,2,4
"150",2964,2,4
"151",2874,2,3
"152",2146,2,3
"153",540,2,3
"154",1431,2,4
"155",1741,2,4
"156",1448,2,5
"157",1899,2,5
"158",1724,2,4
"159",2443,2,5
"160",2734,2,4
"161",1907,2,5
"162",110,2,5
"163",1286,2,4
"164",2740,2,2
"165",588,2,3
"166",531,2,3
"167",866,2,4
"168",166,2,3
"169",2693,2,4
"170",1751,2,3
"171",685,2,4
"172",204,2,5
"173",2060,2,3
"174",284,2,5
"175",1401,2,3
"176",796,2,3
"177",1298,2,5
"178",1144,2,4
"179",1638,2,3
"180",1041,2,1
"181",2995,2,2
"182",842,2,5
"183",526,2,5
"184",2342,2,4
"185",1206,2,5
"186",673,2,4
"187",1450,2,5
"188",1862,2,3
"189",1287,2,5
"190",2948,2,4
"191",103,2,3
"192",2306,2,4
"193",559,2,5
"194",1427,2,4
"195",2598,2,4
"196",1872,2,3
"197",1593,2,4
"198",2928,2,5
"199",819,2,4
"200",1054,2,5
"201",120,2,4
"202",2924,2,3
"203",1455,2,5
"204",70,2,5
"205",108,2,3
"206",23,2,3
"207",173,2,4
"208",721,2,3
"209",940,2,4
"210",1043,2,3
"211",1582,2,4
"212",132,2,3
"213",58,3,3
"214",2922,3,2
"215",46,3,3
"216",1203,3,1
"217",1471,3,3
"218",1535,3,3
"219",1829,3,3
"220",1215,3,3
"221",241,3,3
"222",1804,3,2
"223",2860,3,4
"224",2790,3,3
"225",2221,3,4
"226",1930,3,1
"227",186,3,5
"228",2971,3,3
"229",60,3,3
"230",1311,3,4
"231",871,3,3
"232",1322,3,4
"233",1939,3,4
"234",1183,3,1
"235",397,3,3
"236",1879,3,3
"237",2207,3,3
"238",2898,3,4
"239",698,3,3
"240",1965,3,4
"241",2651,3,4
"242",2393,3,5
"243",1823,3,3
"244",758,3,1
"245",331,3,2
"246",2661,3,3
"247",1556,3,3
"248",48,3,4
"249",2655,3,3
"250",1204,3,2
"251",116,3,1
"252",902,3,3
"253",1982,3,2
"254",1705,3,3
"255",1735,3,4
"256",1052,3,5
"257",2588,3,5
"258",609,3,4
"259",1054,3,5
"260",4,3,2
"261",839,3,1
"262",2405,3,2
"263",762,3,4
"264",1255,3,3
"265",2011,3,3
"266",1574,4,3
"267",453,4,4
"268",890,4,3
"269",592,4,4
"270",114,4,3
"271",1061,4,4
"272",1913,4,3
"273",1324,4,5
"274",567,4,5
"275",1990,4,5
"276",186,4,4
"277",2594,4,2
"278",561,4,4
"279",2025,4,3
"280",218,4,5
"281",1010,4,4
"282",595,4,4
"283",1417,4,3
"284",501,4,4
"285",2834,4,4
"286",562,4,4
"287",2885,4,5
"288",2584,4,4
"289",583,4,4
"290",537,4,3
"291",1684,4,4
"292",1718,4,3
"293",517,4,3
"294",2898,4,4
"295",840,4,4
"296",2632,4,4
"297",2589,4,5
"298",2698,4,3
"299",1185,4,4
"300",2388,4,4
"301",2072,4,4
"302",206,4,3
"303",2515,4,4
"304",1343,4,3
"305",575,4,5
"306",1454,4,3
"307",1119,4,2
"308",116,4,4
"309",1442,4,3
"310",519,4,5
"311",2676,4,4
"312",283,4,5
"313",2998,4,4
"314",103,4,4
"315",2136,4,5
"316",2386,4,5
"317",2509,4,1
"318",293,4,2
"319",2097,4,5
"320",862,4,3
"321",648,4,3
"322",873,4,4
"323",2906,4,5
"324",2113,4,5
"325",199,4,3
"326",1644,5,4
"327",1113,5,3
"328",2800,5,5
"329",1762,5,4
"330",2065,5,5
"331",882,5,5
"332",2201,5,4
"333",1292,5,3
"334",535,5,5
"335",2398,5,4
"336",1750,5,5
"337",2152,5,5
"338",423,5,5
"339",1822,5,4
"340",469,5,2
"341",2350,5,4
"342",2224,5,5
"343",615,5,5
"344",1230,5,3
"345",2949,5,3
"346",1356,5,4
"347",570,5,5
"348",781,5,1
"349",2893,5,3
"350",2473,5,4
"351",1139,5,5
"352",1597,5,5
"353",312,5,5
"354",2694,5,4
"355",1568,5,5
"356",2830,5,5
"357",2339,5,2
"358",2746,5,5
"359",114,5,3
"360",18,5,4
"361",1676,5,4
"362",2028,5,4
"363",567,5,5
"364",158,5,4
"365",1085,5,5
"366",2613,5,3
"367",2752,5,3
"368",2819,5,5
"369",1685,5,4
"370",338,5,3
"371",1785,5,4
"372",561,5,3
"373",2461,5,2
"374",1497,5,5
"375",260,5,4
"376",2523,5,4
"377",550,5,4
"378",925,5,3
"379",472,5,5
"380",2878,5,4
"381",2095,5,4
"382",1885,5,4
"383",1849,5,4
"384",1942,5,5
"385",1543,5,5
"386",1486,5,3
"387",2202,5,3
"388",2219,5,2
"389",314,5,5
"390",2732,5,3
"391",524,5,4
"392",1249,5,5
"393",1539,5,3
"394",2216,5,3
"395",797,5,5
"396",2491,5,5
"397",898,5,3
"398",1435,5,3
"399",672,5,3
"400",1178,5,5
"401",834,5,4
"402",1116,5,4
"403",1111,5,5
"404",2580,5,3
"405",1053,5,5
"406",2176,5,5
"407",2365,5,4
"408",2777,5,5
"409",2950,5,2
"410",2311,5,3
"411",1087,5,4
