"","X1_validation","X2_validation","Y_validation"
"1",1858,644,4
"2",2539,296,4
"3",2731,706,4
"4",430,725,3
"5",1612,259,5
"6",1569,329,5
"7",155,721,3
"8",854,224,5
"9",1306,43,5
"10",514,456,1
"11",2954,979,4
"12",2157,883,4
"13",2158,212,5
"14",491,482,4
"15",1415,349,5
"16",1726,36,4
"17",1825,997,3
"18",2382,242,4
"19",1817,51,4
"20",758,178,2
"21",891,850,3
"22",1780,170,4
"23",344,246,3
"24",1731,454,3
"25",1295,157,4
"26",2132,37,3
"27",220,187,4
"28",2742,965,3
"29",447,1010,3
"30",1226,943,3
"31",1252,710,4
"32",1726,743,3
"33",881,61,3
"34",1227,346,5
"35",2349,546,3
"36",2103,703,4
"37",2602,172,4
"38",621,845,4
"39",176,68,5
"40",1439,242,4
"41",2756,697,5
"42",2540,18,4
"43",2515,725,5
"44",721,499,5
"45",814,41,5
"46",1396,358,4
"47",2676,429,4
"48",822,408,5
"49",2678,251,4
"50",2790,309,3
"51",247,541,5
"52",1391,789,4
"53",902,860,3
"54",1946,990,3
"55",2697,495,4
"56",984,535,2
"57",858,251,5
"58",1293,66,2
"59",2847,310,4
"60",387,445,3
"61",2628,927,3
"62",2249,28,4
"63",426,320,4
"64",853,978,3
"65",2615,771,4
"66",2407,295,4
"67",328,410,5
"68",331,650,4
"69",2001,87,5
"70",298,937,2
"71",905,56,4
"72",167,572,4
"73",2489,397,5
"74",2830,578,5
"75",2948,982,4
"76",162,544,4
"77",2709,750,3
"78",3000,841,3
"79",1554,694,3
"80",539,634,5
"81",2341,760,2
"82",2676,555,5
"83",1730,208,1
"84",1307,115,4
"85",2940,100,3
"86",987,459,3
"87",241,829,5
"88",1503,547,3
"89",1881,646,5
"90",2915,322,5
"91",759,175,3
"92",2250,178,3
"93",2769,264,1
"94",1541,88,4
"95",2985,241,4
"96",2133,693,1
"97",1422,407,3
"98",392,829,4
"99",2630,467,5
"100",1221,627,3
"101",2633,908,3
"102",124,658,4
"103",1561,979,3
"104",616,136,2
"105",2729,660,4
"106",2058,202,2
"107",1729,172,3
"108",638,141,1
"109",1650,922,2
"110",1630,318,1
"111",808,333,4
"112",2145,940,5
"113",2390,63,4
"114",2883,753,5
"115",1742,325,4
"116",611,304,2
"117",2098,774,1
"118",251,831,4
"119",1611,655,3
"120",1663,158,2
"121",2025,255,3
"122",1363,392,3
"123",1984,163,3
"124",427,983,4
"125",2725,277,3
"126",635,359,4
"127",1782,420,4
"128",1020,434,5
"129",1213,680,3
"130",1710,123,3
"131",1844,357,5
"132",737,895,4
"133",2029,795,2
"134",2216,503,3
"135",2159,897,4
"136",888,832,4
"137",2933,179,3
"138",2151,277,5
"139",1267,533,4
"140",318,139,5
"141",59,494,2
"142",2211,168,5
"143",350,203,1
"144",1201,192,3
"145",1027,874,4
"146",2982,250,3
"147",2865,714,5
"148",2630,989,4
"149",1316,396,3
"150",2038,672,4
"151",1016,682,5
"152",1714,551,4
"153",2592,800,4
"154",346,601,5
"155",2088,492,4
"156",457,117,5
"157",1108,679,5
"158",1899,145,5
"159",1471,26,4
"160",1861,976,3
"161",2196,433,3
"162",2382,973,3
"163",1130,322,3
"164",625,42,3
"165",2465,297,4
"166",2237,333,4
"167",1488,197,4
"168",2571,745,4
"169",1100,874,2
"170",978,393,3
"171",157,875,1
"172",2893,571,3
"173",2171,161,5
"174",2961,620,3
"175",1746,682,5
"176",2223,476,3
"177",2097,65,3
"178",1061,752,4
"179",2967,790,4
"180",2169,863,5
"181",1467,936,3
"182",2652,601,4
"183",2571,982,4
"184",2805,726,5
"185",1568,247,5
"186",388,569,3
"187",1406,643,2
"188",723,70,5
"189",2378,161,4
"190",576,808,4
"191",1024,311,5
"192",347,110,4
"193",338,526,4
"194",2765,393,4
"195",2454,324,4
"196",1335,507,4
"197",1816,28,4
"198",1747,907,2
"199",1711,1013,3
"200",1232,497,4
"201",2488,376,4
"202",852,330,4
"203",2170,965,4
"204",2025,595,4
"205",652,707,4
"206",2882,857,3
"207",1332,527,2
"208",2182,1011,4
"209",1267,354,3
"210",4,682,5
"211",638,400,1
"212",1393,24,4
"213",90,69,2
"214",673,80,4
"215",2700,1006,3
"216",3,762,3
"217",1060,629,3
"218",1181,325,4
"219",662,219,3
"220",2146,390,4
"221",1398,113,4
"222",2984,211,3
"223",584,980,5
"224",1168,573,3
"225",1509,8,4
"226",577,960,4
"227",2646,411,5
"228",1612,674,3
"229",499,736,4
"230",1157,334,3
"231",12,572,3
"232",435,57,3
"233",738,447,1
"234",2203,806,1
"235",2252,785,5
"236",2765,549,4
"237",523,233,4
"238",2855,787,3
"239",2025,697,3
"240",1196,126,5
"241",697,186,4
"242",2088,232,5
"243",899,503,5
"244",950,315,2
"245",1118,944,4
"246",2039,36,3
"247",2628,172,3
"248",519,995,4
