"","X1_validation","X2_validation","Y_validation"
"1",1424,903,4
"2",1341,10,1
"3",2213,848,4
"4",2577,464,4
"5",2837,856,4
"6",401,713,3
"7",30,981,2
"8",490,37,4
"9",120,297,3
"10",766,129,3
"11",355,31,3
"12",1470,709,3
"13",1779,944,2
"14",367,416,4
"15",407,19,4
"16",2521,488,5
"17",936,758,3
"18",2109,365,5
"19",473,772,5
"20",768,515,4
"21",48,26,4
"22",256,429,3
"23",2227,881,3
"24",501,844,4
"25",169,767,4
"26",535,896,3
"27",192,660,4
"28",2762,878,4
"29",1343,335,5
"30",1179,996,3
"31",2322,196,3
"32",2847,883,5
"33",682,856,5
"34",62,806,3
"35",874,319,3
"36",285,989,5
"37",2720,383,4
"38",1438,610,3
"39",2055,671,5
"40",1759,576,4
"41",1193,752,4
"42",670,20,5
"43",2846,397,3
"44",945,228,4
"45",2560,412,4
"46",1746,984,3
"47",1945,429,3
"48",601,800,3
"49",985,563,3
"50",218,902,4
"51",2717,645,3
"52",611,1021,2
"53",2366,576,3
"54",2189,928,4
"55",2748,125,4
"56",2826,310,5
"57",2607,614,5
"58",2165,954,3
"59",1889,364,4
"60",2260,651,5
"61",293,550,4
"62",1817,658,5
"63",1641,613,3
"64",2022,899,5
"65",2297,978,5
"66",1463,81,3
"67",2206,408,5
"68",69,203,2
"69",2947,353,4
"70",2860,960,5
"71",1987,1012,4
"72",2891,373,3
"73",1452,394,5
"74",1306,285,4
"75",1467,562,3
"76",2200,219,4
"77",1997,27,4
"78",2716,142,3
"79",123,878,5
"80",1028,169,3
"81",2160,537,4
"82",1919,523,5
"83",2383,492,3
"84",657,902,3
"85",2327,646,4
"86",828,840,4
"87",793,9,4
"88",155,854,5
"89",2993,650,5
"90",2889,60,4
"91",502,512,3
"92",2681,258,3
"93",1839,674,4
"94",1832,384,3
"95",2099,421,5
"96",309,484,3
"97",910,555,4
"98",1976,770,5
"99",1783,688,3
"100",316,533,3
"101",2556,315,3
"102",294,38,4
"103",2452,617,4
"104",1452,406,5
"105",1815,492,4
"106",2933,834,3
"107",157,860,5
"108",2757,61,5
"109",2566,787,5
"110",982,954,5
"111",2596,709,5
"112",193,927,5
"113",1699,154,2
"114",1306,959,5
"115",619,729,3
"116",2145,270,3
"117",1073,792,4
"118",1145,201,4
"119",1532,779,5
"120",1706,489,5
"121",2970,796,4
"122",980,351,2
"123",26,990,5
"124",439,723,5
"125",1008,719,4
"126",2055,195,2
"127",2812,870,2
"128",2889,331,3
"129",2130,128,5
"130",300,964,4
"131",2500,950,3
"132",2722,601,4
"133",1059,215,3
"134",872,464,4
"135",334,356,4
"136",2145,65,3
"137",2209,600,4
"138",603,1000,4
"139",137,168,5
"140",625,902,4
"141",307,306,2
"142",1226,279,5
"143",73,782,4
"144",2293,874,4
"145",2148,118,5
"146",2926,726,4
"147",462,414,5
"148",1875,655,3
"149",2425,234,3
"150",2660,390,3
"151",2235,334,4
"152",1777,722,3
"153",1745,214,5
"154",2803,724,4
"155",2455,58,3
"156",2213,141,5
"157",1085,283,4
"158",1560,501,5
"159",885,299,1
"160",1883,965,4
"161",1728,387,4
"162",2466,836,5
"163",973,376,3
"164",255,145,5
"165",1690,840,2
"166",2287,681,3
"167",2862,810,3
"168",2196,484,3
"169",1450,642,3
"170",185,147,5
"171",2336,557,5
"172",1029,474,5
"173",2276,488,4
"174",2811,440,5
"175",2406,128,4
"176",65,1010,3
"177",835,538,4
"178",2959,752,3
"179",2722,379,3
"180",566,180,5
"181",1897,231,2
"182",2455,832,2
"183",2384,979,3
"184",139,310,5
"185",2697,855,5
"186",1644,246,4
"187",1101,688,3
"188",1354,450,4
"189",2268,809,4
"190",157,617,4
"191",2893,701,4
"192",1215,961,5
"193",1628,814,1
"194",2998,188,4
"195",2716,968,4
"196",1942,410,5
"197",2714,510,4
"198",641,464,4
"199",2497,921,3
"200",1713,370,4
"201",721,449,5
"202",87,458,4
"203",2515,839,2
"204",76,956,2
"205",2873,807,4
"206",1087,336,3
"207",2699,189,4
"208",2687,346,5
"209",2007,783,4
"210",2972,770,4
"211",1881,148,3
"212",2032,483,5
"213",1229,738,3
"214",2574,951,5
"215",2955,830,3
"216",101,86,1
"217",1304,539,4
"218",144,149,5
"219",1783,864,2
"220",1625,899,3
"221",2621,87,4
"222",1325,766,4
"223",2709,352,3
"224",2083,373,3
"225",1042,77,4
"226",1097,978,2
"227",2279,17,4
"228",2321,487,4
"229",2948,16,3
"230",772,95,5
"231",2834,263,4
"232",1599,765,3
"233",2515,720,3
"234",1774,1024,3
"235",1678,624,4
"236",2675,5,4
"237",59,203,4
"238",25,696,5
"239",1028,875,2
"240",2937,1029,3
"241",1393,62,5
"242",1893,794,3
"243",1314,355,5
"244",991,485,4
"245",1343,15,5
"246",1936,446,4
"247",1208,247,3
"248",1122,582,5
"249",1254,488,4
"250",2797,295,3
"251",987,121,4
"252",2271,28,4
"253",809,553,5
"254",569,466,4
"255",2645,380,3
"256",1442,743,3
"257",196,598,4
"258",1233,450,4
"259",1267,721,4
"260",595,414,5
"261",308,297,1
"262",2383,588,3
"263",720,457,1
"264",2386,514,5
"265",1310,921,4
"266",2765,833,4
"267",831,619,1
"268",2082,771,3
"269",673,703,3
"270",982,247,4
"271",2493,694,3
"272",347,464,2
"273",1058,81,3
"274",995,542,3
"275",891,845,3
"276",220,601,5
"277",1264,952,5
"278",74,355,2
"279",1927,709,4
"280",619,273,4
"281",125,70,4
"282",1675,209,4
"283",700,412,4
"284",961,626,5
"285",1333,621,5
"286",458,285,2
"287",1607,1003,4
"288",757,869,4
"289",2353,224,3
"290",949,214,4
"291",2965,203,4
"292",2648,971,3
"293",1925,201,5
"294",2803,16,1
"295",789,582,5
"296",1151,830,3
"297",2253,217,4
"298",2744,522,3
"299",2383,304,4
"300",2633,939,5
"301",1512,285,3
"302",2724,37,5
"303",1770,28,3
"304",2903,207,4
"305",1092,935,4
"306",2815,277,2
"307",397,10,2
"308",502,314,4
"309",2689,459,3
"310",2159,1029,4
"311",337,278,4
"312",350,217,3
"313",1479,854,5
"314",22,906,3
"315",1512,663,3
"316",640,991,4
"317",353,225,4
"318",1942,423,5
"319",1422,253,5
"320",2856,100,2
"321",529,524,4
"322",1819,772,4
"323",2145,352,3
"324",682,563,4
"325",1193,373,3
"326",877,178,2
"327",1355,792,4
"328",2370,359,3
"329",2176,103,3
"330",2566,40,4
"331",32,993,3
"332",1164,1,5
"333",1958,451,5
"334",1182,733,4
"335",1122,986,2
"336",1276,732,4
"337",2797,200,3
"338",553,386,2
"339",2438,420,3
"340",1800,683,2
"341",1534,214,3
"342",205,440,1
"343",548,719,5
"344",1165,169,4
"345",1949,122,4
"346",2268,554,4
"347",1868,819,3
"348",211,129,4
"349",1058,997,5
"350",1414,801,1
"351",672,630,3
"352",13,696,4
"353",72,813,5
"354",2851,300,3
"355",6,278,3
"356",147,870,2
"357",289,298,2
"358",2573,959,2
"359",2707,880,4
"360",1014,90,4
"361",1399,740,5
"362",2825,104,3
"363",485,335,3
"364",1048,872,5
"365",1656,430,4
"366",2731,846,3
"367",289,15,4
"368",2080,368,3
"369",908,589,3
"370",901,212,5
"371",2812,445,3
"372",902,38,3
"373",1683,930,4
"374",1057,441,1
"375",2482,727,3
"376",1251,713,3
"377",2310,666,2
"378",1583,696,3
"379",871,295,3
"380",1307,845,3
"381",2173,26,4
"382",1052,536,3
"383",1274,482,3
"384",2748,1024,3
"385",2258,127,2
"386",1141,465,4
"387",1627,645,4
"388",2211,961,3
"389",2632,709,2
"390",2366,374,5
"391",1430,267,5
"392",264,550,4
"393",2508,438,3
"394",2752,589,4
"395",1106,626,4
"396",2344,340,2
"397",1298,258,2
"398",1195,865,5
"399",1378,106,3
"400",2522,696,1
"401",1231,663,5
"402",1229,494,4
"403",610,407,4
"404",103,675,2
"405",2440,288,3
"406",2873,607,3
"407",849,368,3
"408",246,657,2
"409",56,361,3
"410",1936,772,4
"411",622,97,5
"412",2313,29,4
"413",2326,767,5
"414",1451,839,2
"415",95,983,3
