"","X1_validation","X2_validation","Y_validation"
"1",1747,10,5
"2",1895,207,4
"3",2255,178,4
"4",1276,101,4
"5",2831,97,5
"6",359,92,5
"7",323,77,4
"8",2316,149,3
"9",480,77,4
"10",556,545,5
"11",969,863,5
"12",2090,244,5
"13",1989,7,2
"14",1086,639,4
"15",2057,202,2
"16",503,537,5
"17",2087,194,4
"18",1247,39,4
"19",137,869,4
"20",1322,137,5
"21",737,98,5
"22",1940,12,5
"23",1840,715,2
"24",2967,732,4
"25",1183,76,5
"26",1941,338,5
"27",2665,30,5
"28",1309,341,4
"29",2324,28,1
"30",2364,4,5
"31",1024,191,4
"32",2819,399,5
"33",329,3,5
"34",124,45,5
"35",33,575,5
"36",533,65,5
"37",276,252,4
"38",1194,6,5
"39",2691,436,1
"40",473,8,2
"41",127,789,5
"42",2368,293,5
"43",2898,371,5
"44",2035,49,4
"45",1945,91,5
"46",416,841,5
"47",2331,135,5
"48",1526,644,5
"49",1822,45,5
"50",2805,78,1
"51",2964,101,5
"52",736,934,5
"53",554,194,3
"54",334,3,2
"55",2918,277,4
"56",2107,79,5
"57",2274,952,5
"58",944,705,4
"59",2084,2,2
"60",2204,223,3
"61",2829,54,5
"62",2288,126,5
"63",1842,906,4
"64",2799,24,4
"65",780,421,5
"66",2321,118,5
"67",166,5,2
"68",2595,60,4
"69",1782,769,5
"70",1644,144,4
"71",1385,25,3
"72",714,2,5
"73",1473,12,1
"74",1539,824,5
"75",1157,7,4
"76",2759,148,5
"77",2335,814,4
"78",2833,142,4
"79",1033,741,5
"80",544,637,5
"81",552,823,5
"82",2128,444,4
"83",1681,480,4
"84",987,320,4
"85",966,876,4
"86",2975,213,4
"87",755,243,5
"88",557,22,5
"89",1863,104,5
"90",1679,237,5
"91",2181,81,3
"92",1737,380,5
"93",941,76,4
"94",2789,425,3
"95",2019,251,4
"96",1009,391,4
"97",237,306,4
"98",1530,375,5
"99",1279,553,2
"100",915,64,5
"101",772,773,3
"102",537,602,4
"103",1855,978,5
"104",2902,12,5
"105",2630,235,5
"106",326,562,5
"107",1547,295,3
"108",281,72,5
"109",351,287,5
"110",2609,18,3
"111",1834,674,4
"112",439,37,3
"113",2452,845,5
"114",2313,7,4
"115",1067,183,4
"116",748,54,4
"117",1694,22,5
"118",590,66,5
"119",422,45,5
"120",2220,49,4
"121",2629,552,3
"122",1188,115,5
"123",379,882,4
"124",1973,728,5
"125",375,625,5
"126",2601,97,5
"127",2364,292,4
"128",593,161,4
"129",1309,822,5
"130",262,101,5
"131",2914,721,5
"132",1671,157,5
"133",68,191,3
"134",2426,527,4
"135",2992,59,5
"136",2751,12,3
"137",1581,2,4
"138",1138,105,5
"139",1467,100,4
"140",1799,967,5
"141",2695,165,4
"142",1532,550,5
"143",2057,144,4
"144",838,260,5
"145",1614,128,2
"146",1797,317,5
"147",2979,771,3
"148",1238,131,4
"149",785,983,4
"150",1021,2,4
"151",546,876,3
"152",2765,475,3
"153",1223,3,5
"154",202,584,5
"155",1070,161,4
"156",110,44,5
"157",1548,451,3
"158",2128,460,3
"159",1743,4,4
"160",291,21,4
"161",2048,29,4
"162",2699,457,5
"163",686,52,4
"164",439,822,5
"165",2883,19,5
"166",1842,149,1
"167",2901,35,5
"168",1616,17,5
"169",349,3,5
"170",2295,42,3
"171",607,311,4
"172",784,13,3
"173",1562,201,5
"174",1737,310,5
"175",45,622,4
"176",1740,76,5
"177",1784,70,5
"178",1944,989,4
"179",2614,115,5
"180",2916,37,5
"181",1375,52,4
"182",1454,7,3
"183",1294,128,1
"184",2087,660,4
"185",1768,122,5
"186",495,589,5
"187",2386,14,4
"188",173,227,4
"189",1776,382,5
"190",2439,123,3
"191",2984,504,5
"192",2742,25,4
"193",636,647,5
"194",2664,7,5
"195",1349,59,5
"196",701,12,4
"197",1374,6,5
"198",2819,361,5
"199",660,860,4
"200",52,9,5
"201",2428,59,4
"202",2337,399,5
"203",1934,571,4
"204",2248,303,4
"205",1872,54,5
"206",1477,477,5
"207",822,28,3
"208",721,232,4
"209",938,932,5
"210",2110,12,5
"211",2110,98,1
"212",2116,770,3
"213",352,541,1
"214",1537,914,4
"215",313,345,4
"216",2803,19,5
"217",531,178,4
"218",1109,233,5
"219",1037,667,4
"220",2687,521,5
"221",904,36,5
"222",2837,101,5
"223",2035,458,5
"224",389,879,5
"225",2193,255,5
"226",2456,431,3
"227",904,69,5
"228",1174,414,5
"229",2997,301,5
"230",449,603,5
"231",1577,250,5
"232",850,265,5
"233",975,20,4
"234",1925,134,5
"235",670,578,3
"236",935,733,5
"237",2595,175,4
"238",2713,38,5
"239",938,1,3
"240",2600,9,5
"241",2815,188,1
"242",214,375,5
"243",2684,147,1
"244",2019,33,4
"245",733,123,4
"246",2975,668,5
"247",231,117,5
"248",1366,328,2
"249",2996,421,5
"250",1786,276,5
"251",1425,438,4
"252",1132,156,5
"253",2499,165,1
"254",2102,422,5
"255",890,3,4
"256",2058,6,5
"257",2933,15,5
"258",538,28,1
"259",1386,546,5
"260",1760,49,3
"261",2484,75,5
"262",545,668,5
"263",2845,935,4
"264",2406,63,5
"265",1438,107,5
"266",1286,681,5
"267",1062,292,3
"268",1646,111,4
"269",677,55,5
"270",701,153,5
"271",1497,134,3
"272",1700,770,3
"273",540,944,5
"274",2968,933,4
"275",2677,197,5
"276",478,443,4
"277",290,484,5
"278",1247,410,4
"279",697,292,4
"280",366,275,4
"281",464,94,4
"282",211,7,5
"283",276,364,4
"284",536,249,5
"285",512,81,5
"286",1185,19,5
"287",2581,100,4
"288",190,100,5
"289",741,922,4
"290",645,135,5
"291",776,63,5
"292",2739,782,4
"293",698,19,5
"294",698,137,5
"295",2747,16,5
"296",1256,281,5
"297",2234,54,5
"298",1675,109,4
"299",2397,893,3
"300",1680,537,4
"301",31,49,2
"302",2015,394,5
"303",196,740,4
"304",2383,537,4
"305",1119,7,1
"306",1159,85,4
"307",1280,861,4
"308",2114,25,5
"309",1554,668,4
"310",1481,578,4
"311",1867,564,4
"312",369,110,4
"313",1613,2,4
"314",2370,17,5
"315",60,2,5
"316",1417,43,5
"317",1146,345,2
"318",1445,3,5
"319",2208,875,3
"320",1338,821,4
"321",2189,99,5
"322",1836,138,3
"323",881,153,2
"324",1833,59,5
"325",1963,493,3
"326",2792,438,5
"327",1245,286,3
"328",354,183,4
"329",334,322,2
"330",2582,594,4
"331",1520,134,2
"332",2532,104,5
"333",683,23,5
"334",2829,123,3
"335",1404,8,3
"336",1932,98,1
"337",2517,455,4
"338",2159,343,3
"339",2510,108,2
"340",1536,125,5
"341",1158,302,5
"342",2950,965,5
"343",2763,58,4
"344",44,47,5
"345",2453,69,5
"346",609,384,5
"347",2957,262,5
"348",2559,161,4
"349",690,430,3
"350",621,869,4
"351",840,277,2
"352",1144,211,4
"353",2077,2,5
"354",315,207,5
"355",2968,110,3
"356",162,42,5
"357",2450,12,3
"358",1157,46,4
"359",2420,34,5
"360",1868,276,3
"361",340,645,5
"362",2364,2,4
"363",1182,211,5
"364",1504,592,4
"365",541,636,3
"366",1,55,4
"367",1738,131,4
"368",2481,35,5
"369",2709,301,5
"370",876,291,2
"371",1324,772,5
"372",748,4,5
"373",1225,828,5
"374",2666,391,3
"375",2043,8,5
"376",2010,5,5
"377",1968,49,3
"378",1008,381,4
"379",2922,425,1
"380",1740,22,5
"381",1619,1,2
"382",2529,278,5
"383",1808,863,4
"384",2221,460,4
"385",2012,106,5
"386",2616,4,5
"387",254,513,1
"388",630,103,4
"389",1100,59,5
"390",2614,7,3
"391",2506,168,5
"392",544,251,4
"393",2226,785,5
"394",570,178,4
"395",2409,50,4
"396",255,311,3
"397",75,5,1
"398",883,317,5
"399",1911,97,5
"400",2955,52,3
"401",1358,63,3
"402",898,930,3
"403",1844,997,5
"404",1431,45,5
"405",2307,370,4
"406",1203,538,4
"407",2239,145,4
"408",1287,44,5
