"","X1_train","X2_train","Y_train"
"1",2781,212,5
"2",948,94,5
"3",2681,583,4
"4",882,295,5
"5",1313,6,4
"6",483,67,5
"7",54,727,5
"8",2807,871,5
"9",2994,769,5
"10",2600,1,5
"11",443,274,5
"12",1221,677,4
"13",1838,109,5
"14",2913,151,4
"15",1162,108,4
"16",922,422,4
"17",279,452,5
"18",1999,5,4
"19",2570,330,5
"20",2005,28,4
"21",2368,540,5
"22",311,345,4
"23",2272,288,5
"24",918,30,4
"25",1591,55,3
"26",695,201,3
"27",2384,468,4
"28",2082,452,5
"29",2324,377,5
"30",2968,80,4
"31",727,68,4
"32",2679,324,4
"33",1882,521,3
"34",1512,253,4
"35",1407,589,5
"36",1920,664,4
"37",44,914,3
"38",1329,139,5
"39",1351,438,5
"40",286,525,5
"41",950,168,4
"42",2888,775,2
"43",2050,410,5
"44",494,271,5
"45",1298,717,5
"46",793,745,5
"47",128,24,5
"48",573,184,4
"49",2090,330,5
"50",738,419,4
"51",2326,1,5
"52",68,468,5
"53",2739,12,5
"54",483,25,5
"55",2485,7,5
"56",1847,20,5
"57",405,14,5
"58",294,569,5
"59",2749,339,5
"60",237,282,5
"61",316,877,5
"62",1644,328,4
"63",2811,66,5
"64",1136,516,5
"65",28,2,4
"66",206,32,5
"67",1856,900,5
"68",614,261,5
"69",170,28,5
"70",806,412,5
"71",417,245,5
"72",2631,874,5
"73",2841,263,4
"74",228,168,5
"75",2001,808,5
"76",1173,900,5
"77",1681,481,5
"78",2171,252,5
"79",1438,384,5
"80",34,391,4
"81",1405,8,5
"82",322,880,4
"83",2125,115,4
"84",1164,469,5
"85",425,443,5
"86",80,178,5
"87",432,588,5
"88",1595,880,5
"89",1718,775,5
"90",1839,644,5
"91",433,9,4
"92",1768,44,5
"93",1351,282,5
"94",1531,761,5
"95",1258,401,5
"96",285,76,5
"97",1969,428,5
"98",2534,102,5
"99",1277,58,5
"100",2343,398,4
"101",2915,982,5
"102",2331,245,5
"103",1229,144,5
"104",1882,736,5
"105",669,329,5
"106",2855,114,5
"107",242,189,5
"108",2743,553,5
"109",1317,170,4
"110",2109,251,4
"111",2065,128,4
"112",2287,21,3
"113",2726,532,3
"114",575,26,5
"115",435,721,5
"116",265,314,4
"117",1039,388,4
"118",1082,273,4
"119",2448,137,4
"120",2846,995,5
"121",2728,234,2
"122",101,776,3
"123",2195,360,4
"124",79,243,5
"125",728,175,4
"126",2027,569,4
"127",1416,691,3
"128",2489,68,5
"129",2358,943,5
"130",339,717,5
"131",2356,1,5
"132",1999,534,3
"133",944,134,5
"134",2238,840,4
"135",980,262,5
"136",936,210,5
"137",1530,49,4
"138",1284,905,3
"139",1039,393,4
"140",2807,880,5
"141",1526,18,5
"142",860,62,3
"143",1218,594,4
"144",131,7,4
"145",52,80,5
"146",2688,1,5
"147",215,54,4
"148",2939,600,5
"149",2634,713,5
"150",1936,45,5
"151",2355,145,5
"152",2732,39,5
"153",546,485,1
"154",2085,169,5
"155",1359,6,5
"156",2050,1,3
"157",1504,45,5
"158",1080,268,5
"159",2767,321,4
"160",93,576,5
"161",2627,286,4
"162",1224,428,5
"163",529,454,5
"164",1669,1,3
"165",2837,96,3
"166",738,159,5
"167",1437,35,5
"168",2476,26,5
"169",1672,520,4
"170",1337,840,5
"171",2888,906,5
"172",1957,910,5
"173",867,321,4
"174",1780,98,5
"175",1175,1,3
"176",2256,336,5
"177",848,138,4
"178",1956,657,5
"179",1165,617,5
"180",2429,342,5
"181",1378,30,5
"182",2573,821,3
"183",2708,181,5
"184",2245,336,5
"185",2231,397,4
"186",319,696,5
"187",1914,11,5
"188",78,68,4
"189",132,339,5
"190",552,596,2
"191",940,469,3
"192",1324,20,5
"193",839,55,4
"194",172,943,5
"195",1630,836,5
"196",451,473,5
"197",2901,273,4
"198",2640,576,3
"199",2884,145,4
"200",2152,45,2
"201",1659,237,5
"202",1713,211,5
"203",2284,211,3
"204",882,375,5
"205",2993,564,5
"206",2849,515,5
"207",303,774,1
"208",1311,436,5
"209",1719,336,4
"210",189,296,5
"211",2609,158,3
