"","X1_test","X2_test","Y_test"
"1",2179,595,5
"2",2179,232,4
"3",2588,323,4
"4",2588,518,4
"5",2250,895,5
"6",2250,897,5
"7",2250,828,5
"8",2250,501,5
"9",2250,525,5
"10",2188,265,3
"11",2188,455,3
"12",2188,295,5
"13",1010,590,5
"14",1010,49,5
"15",1010,29,5
"16",1292,913,4
"17",1292,502,5
"18",1292,119,4
"19",1292,844,4
"20",1825,1,2
"21",1825,685,5
"22",2102,394,5
"23",2102,644,4
"24",2751,288,4
"25",2751,923,4
"26",2751,252,5
"27",2751,7,4
"28",1967,36,5
"29",1967,203,5
"30",1967,159,5
"31",1967,682,5
"32",1967,15,5
"33",65,849,5
"34",65,509,4
"35",65,607,3
"36",2490,542,5
"37",2490,436,3
"38",2490,207,5
"39",2763,895,3
"40",2763,106,5
"41",2763,35,5
"42",975,33,5
"43",975,825,5
"44",975,102,4
"45",975,228,4
"46",975,42,5
"47",1518,61,1
"48",1518,80,4
"49",2427,525,5
"50",952,977,5
"51",952,814,5
"52",952,336,5
"53",952,96,5
"54",952,356,5
"55",207,33,4
"56",207,51,4
"57",207,278,4
"58",207,621,5
"59",207,86,3
"60",207,787,4
"61",2547,721,5
"62",2547,674,5
"63",2547,6,5
"64",2547,906,5
"65",2547,284,4
"66",2547,664,4
"67",2547,501,4
"68",2547,336,5
"69",2547,328,1
"70",2547,170,5
"71",2547,62,5
"72",2547,391,4
"73",2637,449,4
"74",1805,675,5
"75",1805,361,5
"76",1805,76,4
"77",1805,837,5
"78",2783,507,5
"79",2783,250,5
"80",2783,119,4
"81",2783,476,5
"82",2783,409,5
"83",2783,297,4
"84",1582,972,5
"85",1582,135,4
"86",1582,36,5
"87",1582,38,4
"88",1582,3,5
"89",1582,201,4
"90",1582,930,5
"91",1582,674,5
"92",1582,102,3
"93",1582,73,4
"94",1727,38,4
"95",1727,218,5
"96",1727,45,5
"97",1727,498,5
"98",1727,35,5
"99",2152,437,2
"100",2152,842,2
"101",2152,223,5
"102",2152,983,5
"103",2152,151,5
"104",2152,279,3
"105",2963,339,4
"106",2963,835,4
"107",2963,14,5
"108",2963,282,5
"109",1455,69,5
"110",1455,32,4
"111",1455,25,5
"112",1106,774,5
"113",1106,839,5
"114",1226,866,4
"115",1226,96,5
"116",1226,2,5
"117",570,26,4
"118",570,4,5
"119",1562,199,5
"120",1562,481,5
"121",22,542,5
"122",1992,525,5
"123",961,32,4
"124",961,12,5
"125",733,415,4
"126",733,29,5
"127",2079,459,4
"128",2079,852,5
"129",2644,181,5
"130",2644,157,5
"131",2644,47,5
"132",2644,34,5
"133",2644,768,5
"134",189,156,5
"135",2480,71,4
"136",1248,4,5
"137",983,172,4
"138",983,780,5
"139",185,181,5
"140",185,71,5
"141",1090,439,5
"142",1090,622,5
"143",1090,104,5
"144",1166,333,5
"145",1166,188,5
"146",1166,235,5
"147",1166,71,5
"148",948,413,5
"149",948,106,5
"150",672,304,5
"151",677,3,5
"152",677,885,4
"153",677,93,4
"154",1325,863,5
"155",873,71,5
"156",1944,416,4
"157",1944,113,2
"158",88,172,5
"159",2655,71,5
"160",2735,584,5
"161",2735,423,5
"162",953,531,4
"163",953,24,3
"164",953,3,5
"165",2582,285,4
"166",2582,160,3
"167",562,593,4
"168",562,839,5
"169",562,150,5
"170",2850,88,3
"171",2850,350,3
"172",2850,273,4
"173",2850,155,5
"174",386,24,4
"175",386,995,4
"176",386,960,4
"177",386,865,4
"178",386,729,5
"179",386,876,4
"180",386,431,4
"181",386,102,2
"182",386,15,5
"183",2201,255,5
"184",2201,124,5
"185",2201,139,5
"186",2201,428,2
"187",2201,412,5
"188",2201,840,5
"189",2201,947,5
"190",2201,990,5
"191",2201,243,5
"192",2201,878,5
"193",2201,85,3
"194",2201,329,5
"195",2201,8,4
"196",2201,393,5
"197",527,145,5
"198",527,273,5
"199",527,76,5
"200",2361,540,5
"201",2361,717,5
"202",457,542,5
"203",457,362,4
"204",686,145,4
"205",686,1,4
"206",414,872,5
"207",2926,842,5
"208",2926,837,5
"209",2926,252,5
"210",2926,125,5
"211",2926,150,4
"212",2984,460,5
"213",2984,791,4
"214",2984,895,4
"215",2984,222,5
"216",2984,252,5
"217",2984,159,5
"218",2984,30,5
"219",2984,653,5
"220",2984,396,4
"221",2984,67,3
"222",2984,385,3
"223",2984,23,4
"224",2984,651,4
"225",2984,661,5
"226",1104,124,5
"227",1807,83,4
"228",1807,646,2
"229",554,769,5
"230",1407,115,5
"231",1407,236,5
"232",755,36,5
"233",755,413,5
"234",755,738,5
"235",755,769,5
"236",2554,515,4
"237",2554,824,5
"238",2554,27,5
"239",2554,727,4
"240",2554,479,5
"241",2554,150,4
"242",2554,579,5
"243",2554,769,4
"244",2554,258,4
"245",2567,531,5
"246",2567,821,5
"247",2567,835,4
"248",2567,524,5
"249",2567,265,5
"250",2567,249,5
"251",1909,24,4
"252",1909,673,4
"253",1160,592,3
"254",1160,240,5
"255",1160,73,3
"256",542,454,5
"257",542,36,5
"258",542,14,4
"259",869,951,3
"260",869,501,4
"261",869,116,4
"262",869,927,3
"263",869,898,3
"264",224,149,5
"265",1408,210,5
"266",1408,321,4
"267",1408,139,5
"268",1408,192,5
"269",1535,501,5
"270",1535,493,5
"271",1535,368,5
"272",1368,54,5
"273",1368,362,4
"274",2203,540,5
"275",2203,717,5
"276",2203,96,5
"277",1053,754,5
"278",1053,396,4
"279",1053,51,4
"280",1053,744,5
"281",908,273,4
"282",908,76,4
"283",908,109,5
"284",908,525,5
"285",908,67,5
"286",908,173,5
"287",405,550,4
"288",405,642,5
"289",405,5,4
"290",405,644,5
"291",1953,540,5
"292",1953,717,5
"293",1953,388,4
"294",2801,329,5
"295",2801,82,4
"296",2801,85,5
"297",2801,89,4
"298",2801,4,5
"299",1558,128,4
"300",1558,698,4
"301",885,45,5
"302",885,258,5
"303",885,6,5
"304",885,222,4
"305",2043,82,5
"306",2043,398,4
"307",496,717,5
"308",496,880,5
"309",786,830,4
"310",786,82,5
"311",786,222,5
"312",786,876,5
"313",786,866,2
"314",786,691,4
"315",786,657,3
"316",786,569,4
"317",786,589,5
"318",786,257,4
"319",786,896,3
"320",829,139,5
"321",829,356,5
"322",829,441,5
"323",829,473,5
"324",1384,972,4
"325",1384,352,4
"326",1384,847,5
"327",1384,212,5
"328",1384,86,4
"329",1384,66,4
"330",1384,189,4
"331",1384,135,4
"332",1384,880,4
"333",785,4,5
"334",785,892,4
"335",862,449,5
"336",862,51,4
"337",862,901,4
