"","X1_validation","X2_validation","Y_validation"
"1",2111,874,5
"2",1653,159,3
"3",2000,398,3
"4",228,32,5
"5",1223,204,4
"6",375,15,5
"7",607,761,4
"8",1124,419,3
"9",1836,846,5
"10",2899,565,5
"11",2163,455,3
"12",1430,138,5
"13",211,775,5
"14",1398,21,5
"15",1341,357,4
"16",1205,14,5
"17",1591,4,4
"18",1313,619,4
"19",2903,6,4
"20",2381,378,5
"21",215,125,5
"22",2595,420,5
"23",675,151,4
"24",1991,232,4
"25",1014,3,5
"26",2992,129,5
"27",1779,223,5
"28",1384,470,4
"29",438,963,5
"30",2239,983,2
"31",1211,328,5
"32",609,946,5
"33",513,155,4
"34",1927,888,5
"35",2157,920,5
"36",294,995,5
"37",267,391,5
"38",274,830,3
"39",765,5,5
"40",523,13,5
"41",963,273,5
"42",2207,413,5
"43",255,1,5
"44",2390,995,2
"45",2945,524,5
"46",2680,368,5
"47",1169,5,3
"48",1887,323,4
"49",775,524,5
"50",2742,220,4
"51",1144,2,5
"52",2329,11,4
"53",1640,144,4
"54",1780,542,5
"55",2440,540,4
"56",1328,271,4
"57",471,4,5
"58",641,288,5
"59",241,89,2
"60",2235,903,5
"61",2918,174,4
"62",115,20,4
"63",2947,234,1
"64",1735,146,5
"65",2864,168,5
"66",1390,343,4
"67",2466,460,5
"68",160,943,5
"69",2089,406,4
"70",247,923,4
"71",1167,193,4
"72",2494,452,4
"73",1018,449,5
"74",2142,540,4
"75",1984,68,5
"76",2449,906,5
"77",538,540,5
"78",2956,600,5
"79",1371,635,5
"80",2340,410,3
"81",341,913,4
"82",2086,569,4
"83",705,15,3
"84",1664,326,5
"85",147,55,5
"86",1852,54,3
"87",682,331,4
"88",2981,588,3
"89",2693,5,4
"90",492,253,4
"91",2964,460,1
"92",2070,684,2
"93",1141,662,2
"94",1134,604,4
"95",869,402,2
"96",1827,248,5
"97",2920,213,5
"98",2249,474,5
"99",214,118,5
"100",2924,129,4
"101",612,937,4
"102",10,865,4
"103",600,998,5
"104",1670,855,5
"105",1116,81,3
"106",555,430,2
"107",1544,569,5
"108",1117,653,4
"109",1540,68,4
"110",2952,67,5
"111",1183,51,5
"112",594,213,5
"113",1289,29,5
"114",1382,115,4
"115",1381,760,4
"116",2329,87,4
"117",1738,210,5
"118",723,953,4
"119",2687,194,4
"120",1410,125,5
"121",1836,10,5
"122",1292,364,4
"123",927,23,5
"124",1898,937,5
"125",2812,141,5
"126",1042,494,4
"127",1463,1,5
"128",861,23,5
"129",1475,133,4
"130",732,102,5
"131",144,884,5
"132",830,10,5
"133",1246,159,3
"134",279,915,5
"135",583,219,5
"136",1416,288,4
"137",971,104,4
"138",2545,87,5
"139",515,6,4
"140",1606,709,4
"141",1246,87,4
"142",1300,222,4
"143",215,67,4
"144",2073,45,4
"145",633,911,4
"146",1040,10,4
"147",2270,962,4
"148",153,466,5
"149",981,72,5
"150",78,124,4
"151",1007,541,5
"152",758,988,4
"153",519,944,4
"154",1080,102,5
"155",1271,417,1
"156",543,76,5
"157",1719,74,5
"158",1623,786,5
"159",614,470,3
"160",335,139,5
"161",1303,532,4
"162",706,113,5
"163",227,998,4
"164",2801,62,5
"165",989,152,5
"166",1890,504,5
"167",2461,546,5
"168",2076,275,5
"169",434,39,5
"170",2916,55,5
"171",2651,165,5
"172",2279,462,5
"173",398,18,4
"174",2676,138,5
"175",2780,170,3
"176",2689,273,5
"177",2120,118,4
"178",1783,7,4
"179",587,39,4
"180",935,804,4
"181",2413,339,5
"182",3000,128,4
"183",1233,880,5
"184",537,565,5
"185",184,248,5
"186",2050,357,2
"187",375,138,5
"188",822,227,5
"189",1959,139,5
"190",401,14,4
"191",952,125,5
"192",2937,1,4
"193",2271,113,5
"194",1555,170,3
"195",2543,154,5
"196",1779,67,5
"197",1985,5,5
"198",2124,593,4
"199",154,55,4
"200",2949,957,3
"201",2226,329,5
"202",1928,631,5
"203",2688,393,5
"204",2894,789,3
"205",1854,436,4
"206",1744,2,2
"207",690,460,3
"208",1233,23,5
"209",2348,709,5
"210",2200,895,4
"211",2625,14,5
"212",607,869,4
"213",2375,222,3
"214",2909,1,5
"215",658,494,5
"216",872,12,5
"217",2730,1,4
"218",594,204,4
"219",2473,538,4
"220",1993,2,4
"221",882,704,5
"222",2348,4,4
"223",1054,558,4
"224",1550,35,4
"225",2609,99,2
"226",2758,865,5
"227",214,13,5
"228",1094,233,3
"229",1500,54,5
"230",2994,561,5
"231",2580,651,3
"232",1918,995,4
"233",1595,874,5
"234",2205,592,5
"235",2929,123,5
"236",1497,871,5
"237",1025,550,5
"238",2103,155,4
"239",2887,761,3
"240",1830,877,5
"241",2814,45,2
"242",2559,43,3
"243",2685,350,4
"244",2925,981,4
"245",1453,962,4
"246",1244,256,5
"247",672,492,5
"248",2286,108,5
"249",2826,68,5
"250",2750,678,5
"251",104,342,5
"252",507,990,4
"253",2796,821,5
"254",2141,211,5
"255",9,376,4
"256",2957,343,4
"257",840,761,5
"258",1018,68,5
"259",2412,82,4
"260",1699,102,5
"261",1538,119,5
"262",2857,81,4
"263",2415,103,4
"264",1309,699,1
"265",2693,249,4
"266",2575,820,4
"267",1466,393,2
"268",102,341,4
"269",1512,282,4
"270",2950,75,4
"271",354,122,1
"272",2932,28,5
"273",2721,255,5
"274",1686,163,5
"275",1124,324,4
"276",2714,517,5
"277",1799,496,5
"278",12,531,3
"279",657,1,4
"280",849,416,5
"281",1645,570,4
"282",1600,431,5
"283",1378,142,5
"284",330,662,4
"285",1593,11,5
"286",1742,531,5
"287",2328,643,5
"288",1037,806,4
"289",42,113,4
"290",117,106,5
"291",2292,44,4
"292",2148,168,5
"293",1449,464,5
"294",459,218,5
"295",2127,727,5
"296",1416,814,4
"297",53,729,4
"298",1109,563,5
"299",1257,794,2
"300",431,651,5
"301",1170,138,5
"302",638,431,4
"303",2069,76,5
"304",2418,44,4
"305",1212,996,4
"306",1769,25,5
"307",2107,438,5
"308",2609,6,5
"309",1399,2,4
"310",892,979,5
"311",1864,94,5
"312",318,164,3
"313",1415,847,4
"314",1649,767,5
"315",155,18,3
"316",1005,199,5
"317",1682,304,5
"318",2773,449,5
"319",1062,569,5
"320",2381,881,3
"321",2258,462,5
"322",671,513,5
"323",1806,636,4
"324",2487,57,5
"325",1020,344,4
"326",2306,149,3
"327",1751,218,3
"328",463,658,4
"329",650,66,5
"330",648,212,4
"331",1348,39,5
"332",1509,33,5
"333",354,200,5
"334",1615,21,5
"335",1315,835,5
"336",2666,76,5
"337",2317,8,5
"338",1836,66,5
"339",1013,412,5
"340",1356,166,5
"341",2225,944,5
"342",2713,170,2
"343",1767,288,3
"344",1973,128,4
"345",2815,797,5
"346",218,515,5
"347",130,24,1
"348",2738,140,5
"349",1617,242,5
"350",1730,5,4
"351",1298,727,5
"352",440,507,4
"353",614,886,3
"354",2476,592,5
"355",670,802,3
"356",2990,847,4
"357",1198,317,4
"358",482,617,3
"359",1577,8,2
"360",1309,390,5
"361",2423,46,4
"362",1634,691,5
"363",436,39,5
"364",1669,164,5
"365",124,633,4
"366",2164,38,4
"367",1002,38,5
"368",1797,6,4
"369",1729,377,2
"370",1119,138,4
"371",548,318,5
"372",1856,15,5
"373",1756,378,5
"374",1416,555,3
"375",446,658,2
"376",1811,969,5
"377",1382,625,5
"378",1868,376,4
"379",1556,951,5
"380",1937,614,3
"381",1675,91,5
"382",689,466,5
"383",2793,253,3
"384",1128,7,5
"385",693,106,5
"386",2061,323,5
"387",2434,565,5
"388",1277,900,5
"389",2277,44,5
"390",466,140,4
"391",155,23,4
"392",375,168,5
"393",269,727,4
"394",1930,67,4
"395",2349,897,4
"396",1045,2,3
"397",2815,335,3
"398",2187,490,4
"399",930,5,5
"400",423,189,5
"401",149,26,4
"402",547,293,5
"403",2989,643,4
"404",676,28,5
"405",2744,745,5
"406",2911,11,5
"407",1732,367,5
"408",2064,1,4
"409",1888,28,5
"410",2904,106,5
"411",1224,139,4
"412",2337,253,5
"413",1034,465,4
"414",203,643,5
"415",2525,330,5
"416",565,288,4
"417",1717,138,5
"418",640,263,5
"419",609,50,5
"420",709,732,5
"421",687,388,4
"422",1187,152,5
"423",1749,583,5
"424",1757,829,5
"425",135,515,3
"426",322,791,5
"427",2953,96,4
"428",100,126,5
"429",2507,878,4
"430",1942,653,5
"431",2575,8,4
"432",2648,234,5
"433",2800,273,4
"434",2888,93,2
"435",2716,420,5
"436",2185,192,5
"437",2311,933,2
"438",879,51,5
"439",207,609,5
"440",2321,594,5
"441",39,951,4
"442",2849,563,5
"443",857,431,5
"444",1166,659,5
"445",2149,985,3
"446",2117,100,4
"447",643,759,4
"448",1346,282,4
"449",2410,936,4
"450",583,5,5
"451",918,22,5
"452",2757,268,5
"453",1405,569,5
"454",181,398,4
"455",1799,25,2
"456",864,193,5
"457",601,44,3
"458",1908,29,5
"459",1405,68,5
"460",331,127,5
"461",397,139,4
"462",1976,23,3
"463",2229,428,5
"464",2704,108,5
"465",2104,39,4
"466",1871,252,5
"467",1859,288,4
"468",2628,223,5
"469",525,133,5
"470",1943,86,4
"471",39,218,5
"472",2935,78,5
"473",67,218,5
"474",2097,4,5
"475",1735,80,5
"476",463,703,4
"477",741,30,5
"478",1062,125,5
"479",2391,193,1
"480",2291,7,5
"481",450,166,5
"482",770,84,5
"483",2218,14,5
"484",2555,49,5
"485",2804,355,4
"486",2204,38,5
"487",1377,18,5
"488",261,632,5
"489",1538,93,4
"490",457,139,4
"491",2283,223,5
"492",1301,262,2
"493",101,828,5
"494",2883,163,2
"495",2096,141,3
"496",1116,595,4
"497",2235,361,5
"498",1932,808,5
"499",23,431,5
"500",1206,431,3
"501",1216,865,3
"502",2507,14,4
"503",2824,396,3
"504",1811,519,5
"505",389,48,5
"506",2858,339,5
"507",29,526,1
"508",372,318,4
"509",208,910,3
"510",507,57,4
"511",1927,325,4
"512",902,802,4
"513",28,245,5
"514",2207,524,4
"515",2212,132,2
"516",302,39,5
