"","X1_train","X2_train","Y_train"
"1",1930,41,5
"2",814,15,5
"3",469,3,5
"4",2106,246,5
"5",1321,271,5
"6",83,461,4
"7",1579,317,4
"8",250,821,5
"9",2190,335,1
"10",607,463,5
"11",2843,125,1
"12",689,281,5
"13",154,180,5
"14",1169,6,5
"15",2638,27,4
"16",2413,18,5
"17",1772,436,5
"18",1417,15,5
"19",1564,464,5
"20",2285,11,5
"21",157,96,5
"22",114,855,4
"23",2663,389,5
"24",403,183,5
"25",1207,295,4
"26",2093,38,4
"27",2421,463,5
"28",1590,109,5
"29",1282,47,4
"30",1203,588,3
"31",1588,415,5
"32",1965,3,5
"33",543,177,5
"34",1742,59,5
"35",891,20,1
"36",313,34,4
"37",2735,1,5
"38",2080,183,4
"39",15,20,1
"40",192,344,5
"41",2448,978,5
"42",77,254,1
"43",1789,10,5
"44",333,103,5
"45",2980,73,5
"46",773,115,5
"47",621,52,5
"48",1968,596,1
"49",583,575,5
"50",2249,168,5
"51",2662,227,5
"52",219,41,5
"53",2866,124,5
"54",1750,641,5
"55",2522,416,5
"56",1498,80,4
"57",2773,368,2
"58",1256,48,5
"59",2951,393,5
"60",1673,145,4
"61",2249,40,1
"62",1296,876,5
"63",2341,476,5
"64",1126,24,5
"65",2396,731,5
"66",48,115,4
"67",2226,406,5
"68",1776,280,4
"69",2972,39,5
"70",667,161,4
"71",507,57,5
"72",540,1,4
"73",807,5,5
"74",1405,559,4
"75",2508,621,5
"76",515,463,5
"77",2634,916,3
"78",543,364,5
"79",871,639,5
"80",1408,677,5
"81",789,103,5
"82",701,870,5
"83",1385,52,4
"84",975,1000,4
"85",222,853,5
"86",1751,25,5
"87",2609,991,5
"88",897,11,5
"89",2470,902,3
"90",321,478,5
"91",428,518,4
"92",1731,351,3
"93",1830,39,5
"94",1029,19,5
"95",838,127,3
"96",34,646,5
"97",828,847,5
"98",1984,80,5
"99",322,83,5
"100",2950,356,5
"101",2693,314,5
"102",2205,707,5
"103",1402,247,5
"104",716,188,5
"105",1035,873,5
"106",1486,133,3
