"","X1_test","X2_test","Y_test"
"1",1382,210,5
"2",1382,795,5
"3",1198,31,3
"4",1368,963,5
"5",1368,211,5
"6",1368,42,5
"7",1368,300,4
"8",95,218,4
"9",95,901,5
"10",95,198,3
"11",95,326,4
"12",2332,702,5
"13",2332,121,5
"14",2332,725,3
"15",2332,690,4
"16",2332,849,5
"17",87,25,5
"18",87,180,4
"19",87,8,3
"20",87,115,2
"21",87,2,3
"22",2856,119,5
"23",2856,778,4
"24",2856,67,5
"25",1515,611,4
"26",1515,128,5
"27",1515,78,5
"28",1515,352,4
"29",1515,597,5
"30",1515,864,5
"31",1515,404,5
"32",1515,727,5
"33",1515,162,1
"34",244,29,4
"35",244,79,4
"36",244,46,5
"37",244,59,5
"38",1390,527,5
"39",1390,98,2
"40",1390,17,4
"41",1390,552,5
"42",2149,420,3
"43",2149,228,4
"44",2149,1,3
"45",2149,2,1
"46",101,291,5
"47",101,31,5
"48",101,168,3
"49",101,9,5
"50",403,121,5
"51",2199,164,5
"52",2199,503,5
"53",2199,2,3
"54",822,18,2
"55",822,25,5
"56",822,942,4
"57",822,84,3
"58",822,46,4
"59",822,227,4
"60",822,479,4
"61",822,2,4
"62",822,398,4
"63",822,49,4
"64",822,360,4
"65",822,126,4
"66",1811,351,1
"67",1811,476,2
"68",1811,35,4
"69",1811,711,5
"70",1811,239,4
"71",1811,44,5
"72",1811,7,3
"73",1811,360,4
"74",689,817,5
"75",689,361,5
"76",689,317,5
"77",689,335,5
"78",689,562,5
"79",1311,347,4
"80",1311,291,4
"81",1311,228,4
"82",1311,8,3
"83",60,369,3
"84",60,549,3
"85",60,403,3
"86",60,833,4
"87",60,335,5
"88",2137,505,5
"89",2137,51,5
"90",2137,779,5
"91",2021,494,3
"92",2021,503,5
"93",2285,272,4
"94",2285,154,5
"95",2285,863,5
"96",2285,247,5
"97",1608,618,5
"98",1608,316,5
"99",1608,415,5
"100",1923,415,4
"101",1333,722,4
"102",1567,102,5
"103",1567,96,5
"104",1567,413,4
"105",2232,14,5
"106",2232,844,5
"107",2232,301,5
"108",1746,11,3
"109",1746,513,2
"110",598,11,4
"111",598,365,2
"112",598,250,4
"113",598,149,4
"114",598,8,3
"115",2910,59,5
"116",2910,103,5
"117",2910,314,5
"118",917,579,4
"119",608,166,5
"120",2003,556,5
"121",2003,307,2
"122",2003,112,2
"123",1661,4,5
"124",1661,266,4
"125",1661,182,5
"126",1926,474,5
"127",1926,207,5
"128",1926,75,5
"129",1998,74,5
"130",1998,352,3
"131",1998,32,5
"132",868,178,4
"133",868,196,3
"134",868,672,3
"135",868,58,4
"136",868,504,4
"137",868,247,4
"138",1143,659,5
"139",1883,226,3
"140",1883,111,4
"141",2116,17,4
"142",2116,286,5
"143",2116,210,5
"144",2116,1,5
"145",2116,640,5
"146",2116,751,5
"147",2116,794,3
"148",2116,617,5
"149",2116,746,5
"150",2090,207,5
"151",2090,243,5
"152",2090,37,4
"153",2826,288,4
"154",2826,928,4
"155",2826,429,5
"156",2740,46,5
"157",2740,332,4
"158",2740,166,3
"159",2740,265,5
"160",2461,77,4
"161",882,337,5
"162",882,183,4
"163",882,955,4
"164",882,6,5
"165",510,267,5
"166",510,3,5
"167",510,699,5
"168",1815,712,4
"169",2290,27,5
"170",2290,42,4
"171",2290,34,4
"172",2290,494,4
"173",2290,145,4
"174",2615,366,5
"175",2615,174,4
"176",1186,166,5
"177",1186,313,5
"178",1186,201,5
"179",1186,164,5
"180",2016,410,4
"181",2016,50,5
"182",2016,139,5
"183",1370,80,5
"184",1370,121,5
"185",1370,3,5
"186",1370,1,5
"187",1370,80,5
"188",1958,394,5
"189",1958,111,3
"190",1958,59,5
"191",1958,7,2
"192",1267,869,4
"193",1267,39,4
"194",1267,554,5
"195",1267,118,5
"196",1267,646,3
"197",1267,230,5
"198",2040,161,5
"199",2040,21,3
"200",2040,758,5
"201",2040,352,4
"202",2040,709,3
"203",2760,3,5
"204",538,522,4
"205",538,151,4
"206",538,106,4
"207",905,972,5
"208",1038,947,3
"209",1038,21,5
"210",1038,795,5
"211",1645,220,5
"212",1645,151,5
"213",1192,660,5
"214",1192,84,2
"215",1192,382,3
"216",1192,62,3
"217",1192,394,5
"218",1192,52,4
"219",1192,23,4
"220",1192,315,5
"221",1192,278,4
"222",1192,874,5
"223",1192,399,5
"224",1192,2,5
"225",1192,36,5
"226",1192,651,4
"227",31,4,4
"228",31,770,2
"229",31,538,4
"230",1688,116,4
"231",1666,566,5
"232",1666,77,3
"233",1666,386,5
"234",632,39,4
"235",632,43,5
"236",2261,29,5
"237",2261,59,5
"238",2261,36,5
"239",2261,995,2
"240",160,790,4
"241",160,291,4
