"","X1_train","X2_train","Y_train"
"1",2716,52,5
"2",732,33,4
"3",1866,52,4
"4",1679,236,5
"5",302,58,5
"6",1719,614,5
"7",2044,54,3
"8",269,129,1
"9",2090,395,4
"10",812,211,4
"11",218,13,1
"12",1943,228,2
"13",142,21,5
"14",845,29,5
"15",524,974,5
"16",222,454,4
"17",1244,322,5
"18",2526,68,5
"19",1739,821,5
"20",2474,523,5
"21",2485,1,4
"22",1217,441,5
"23",1062,111,2
"24",1301,753,5
"25",310,106,5
"26",693,50,5
"27",775,452,5
"28",79,144,5
"29",2829,135,5
"30",28,737,5
"31",1443,7,5
"32",1953,64,5
"33",656,683,1
"34",2484,79,5
"35",2689,493,3
"36",2291,29,5
"37",1873,389,4
"38",1356,34,5
"39",825,320,5
"40",208,285,5
"41",1706,262,5
"42",632,416,5
"43",2356,437,4
"44",649,9,5
"45",1889,85,5
"46",1582,26,5
"47",1312,929,4
"48",2548,44,5
"49",1907,146,4
"50",315,1,5
"51",2579,563,5
"52",2727,60,4
"53",32,117,1
"54",2549,83,4
"55",2833,366,5
"56",1271,332,4
"57",2048,36,5
"58",1119,22,5
"59",2190,1,5
"60",2633,412,5
"61",142,58,5
"62",2632,565,4
"63",1474,437,4
"64",642,313,5
"65",1795,598,5
"66",517,997,5
"67",247,123,4
"68",2861,89,5
"69",307,225,4
"70",2898,182,5
"71",1261,653,2
"72",1197,206,5
"73",2720,70,5
"74",2553,4,5
"75",1422,3,4
"76",2893,43,5
"77",2139,521,5
"78",13,59,5
"79",1686,59,4
"80",629,129,1
"81",1358,52,3
"82",333,699,4
"83",1125,2,5
"84",1790,429,5
"85",191,38,3
"86",2026,963,5
"87",647,912,5
"88",1754,1,5
"89",2496,110,2
"90",1638,849,5
"91",451,79,5
"92",2588,3,5
"93",1890,17,5
"94",2769,413,4
"95",1023,1,2
"96",230,343,4
"97",2710,337,5
"98",2965,117,2
"99",1979,8,4
"100",1582,188,4
"101",474,421,1
"102",887,252,4
"103",2074,157,5
"104",2396,480,5
"105",174,21,3
"106",841,9,4
"107",1563,10,4
"108",965,206,2
"109",499,2,5
"110",2681,62,3
"111",2238,371,4
"112",1683,132,3
"113",1878,258,5
"114",235,780,5
"115",1364,933,4
"116",1660,413,5
"117",2804,601,5
"118",570,36,5
"119",2549,474,5
"120",1409,106,4
"121",681,67,4
"122",2209,709,5
"123",227,396,5
"124",947,3,5
"125",2182,858,3
"126",1057,118,5
"127",2899,352,5
"128",1726,875,2
"129",2863,145,4
"130",1691,4,4
"131",2218,900,1
"132",2847,7,2
"133",2614,368,4
"134",678,117,1
"135",1115,294,4
"136",1070,306,4
"137",1570,202,5
"138",1079,152,3
"139",310,2,5
"140",2224,285,2
"141",1306,162,3
"142",2635,825,5
"143",2594,686,5
"144",2307,583,4
"145",1476,659,5
"146",947,9,3
"147",524,869,5
"148",596,22,5
"149",933,619,5
